DateTime;Dice1;Dice2
2021.05.06 01:06:17;1;3
2021.05.06 01:06:18;6;4
2021.05.06 01:06:19;2;2
2021.05.06 01:06:19;4;5
2021.05.06 01:06:20;3;5
2021.05.06 01:06:20;4;4
2021.05.06 01:06:20;1;4
2021.05.06 01:06:21;6;3
2021.05.06 01:06:21;6;3
2021.05.06 01:06:22;6;4
2021.05.06 01:06:22;2;4
2021.05.06 01:06:23;3;1
2021.05.06 01:06:23;1;4
2021.05.06 01:06:24;1;6
2021.05.06 01:06:24;5;3
2021.05.06 01:06:24;5;6
2021.05.06 01:06:25;2;2
2021.05.06 01:06:25;4;6
2021.05.06 01:06:26;1;2
2021.05.06 01:06:26;3;3
2021.05.06 01:06:27;6;6
2021.05.06 01:06:27;5;4
2021.05.06 01:06:28;1;2
2021.05.06 01:06:28;1;4
2021.05.06 01:06:29;3;3
2021.05.06 01:06:29;3;5
2021.05.06 01:06:29;5;3
2021.05.06 01:06:30;1;5
2021.05.06 01:06:30;2;3
2021.05.06 01:06:31;6;6
2021.05.06 01:06:31;1;4
2021.05.06 01:06:32;1;2
2021.05.06 01:06:32;6;2
2021.05.06 01:06:33;3;1
2021.05.06 01:06:33;6;5
2021.05.06 01:06:33;6;2
2021.05.06 01:06:34;5;4
2021.05.06 01:06:34;3;4
2021.05.06 01:06:35;3;4
2021.05.06 01:06:35;5;3
2021.05.06 01:06:36;2;6
2021.05.06 01:06:36;2;6
2021.05.06 01:06:37;6;3
2021.05.06 01:06:37;5;2
2021.05.06 01:06:37;1;4
2021.05.06 01:06:38;6;6
2021.05.06 01:06:38;5;1
2021.05.06 01:06:39;2;1
2021.05.06 01:06:39;4;5
2021.05.06 01:06:40;6;3
2021.05.06 01:06:40;5;6
2021.05.06 01:06:40;1;3
2021.05.06 01:06:41;6;3
2021.05.06 01:06:41;2;4
2021.05.06 01:06:42;6;1
2021.05.06 01:06:42;1;3
2021.05.06 01:06:43;5;5
2021.05.06 01:06:43;1;4
2021.05.06 01:06:44;2;3
2021.05.06 01:06:44;5;4
2021.05.06 01:06:44;1;4
2021.05.06 01:06:45;3;2
2021.05.06 01:06:45;6;6
2021.05.06 01:06:46;4;4
2021.05.06 01:06:46;3;5
2021.05.06 01:06:47;4;6
2021.05.06 01:06:47;6;4
2021.05.06 01:06:47;3;6
2021.05.06 01:06:48;1;1
2021.05.06 01:06:48;4;2
2021.05.06 01:06:49;5;1
2021.05.06 01:06:49;3;2
2021.05.06 01:06:50;6;3
2021.05.06 01:06:50;1;4
2021.05.06 01:06:50;6;5
2021.05.06 01:06:51;3;3
2021.05.06 01:06:51;2;1
2021.05.06 01:06:52;6;3
2021.05.06 01:06:52;5;4
2021.05.06 01:06:52;6;1
2021.05.06 01:06:53;1;5
2021.05.06 01:06:53;1;1
2021.05.06 01:06:54;3;1
2021.05.06 01:06:54;6;3
2021.05.06 01:06:55;2;4
2021.05.06 01:06:55;2;6
2021.05.06 01:06:55;1;1
2021.05.06 01:06:56;5;3
2021.05.06 01:06:56;6;4
2021.05.06 01:06:57;3;3
2021.05.06 01:06:57;1;3
2021.05.06 01:06:57;2;3
2021.05.06 01:06:58;4;3
2021.05.06 01:06:58;4;4
2021.05.06 01:06:59;5;5
2021.05.06 01:06:59;1;2
2021.05.06 01:07:00;2;1
2021.05.06 01:07:00;6;4
2021.05.06 01:07:00;5;6
2021.05.06 01:07:01;3;1
2021.05.06 01:14:16;3;4
2021.05.06 01:14:17;3;4
2021.05.06 01:14:18;1;1
2021.05.06 01:14:19;5;4
2021.05.06 01:14:19;5;1
2021.05.06 01:14:20;4;2
2021.05.06 01:14:21;1;1
2021.05.06 14:43:30;3;4
2021.05.06 14:43:32;3;1
2021.05.06 14:43:33;4;6
2021.05.06 14:43:33;4;6
2021.05.06 14:43:35;5;1
2021.05.06 14:43:35;3;5
2021.05.06 14:43:36;6;4
2021.05.06 14:43:36;3;5
2021.05.06 14:43:36;1;5
2021.05.06 14:43:36;6;5
2021.05.06 14:43:37;6;4
2021.05.06 14:43:37;2;2
2021.05.06 14:43:37;3;5
2021.05.06 14:43:37;1;1
2021.05.06 14:43:37;4;5
2021.05.06 14:43:42;6;1
2021.05.06 14:43:44;6;6
2021.05.06 14:43:46;2;2
2021.05.06 14:43:48;2;1
2021.05.06 14:43:49;6;3
2021.05.06 14:43:50;3;6
2021.05.06 14:43:51;4;5
2021.05.06 14:43:52;2;2
2021.05.06 14:43:53;5;2
2021.05.06 14:43:54;6;1
2021.05.06 14:43:55;3;2
2021.05.06 14:43:56;6;6
2021.05.06 14:43:56;6;4
2021.05.06 14:43:57;3;1
2021.05.06 14:43:57;4;3
2021.05.06 14:43:57;6;5
2021.05.06 14:43:57;5;5
2021.05.06 14:43:57;1;3
2021.05.06 14:43:58;6;3
2021.05.06 14:43:58;5;3
2021.05.06 14:43:58;4;5
2021.05.06 14:43:58;4;1
2021.05.06 14:43:59;3;2
2021.05.06 14:43:59;4;2
2021.05.06 14:43:59;5;2
2021.05.06 14:43:59;3;1
2021.05.06 14:43:59;5;2
2021.05.06 14:44:00;5;4
2021.05.06 14:44:00;6;3
